iter	Passed	Remaining
0	6	66086
1	12	63846
2	16	53770
3	20	51733
4	25	50618
5	29	49345
6	34	48700
7	38	48344
8	43	48000
9	47	47592
10	52	47493
11	56	47197
12	61	47102
13	66	47204
14	70	46963
15	74	46779
16	79	46537
17	83	46462
18	88	46475
19	93	46450
20	97	46396
21	102	46401
22	106	46271
23	110	46125
24	115	46061
25	119	46001
26	124	45972
27	128	45892
28	133	45810
29	137	45777
30	141	45644
31	146	45614
32	151	45627
33	155	45612
34	160	45576
35	164	45558
36	168	45489
37	173	45484
38	177	45406
39	182	45356
40	186	45343
41	191	45331
42	195	45308
43	200	45310
44	207	45908
45	214	46327
46	220	46621
47	226	46964
48	233	47457
49	254	50715
50	261	50929
51	266	50923
52	270	50808
53	275	50679
54	279	50567
55	284	50455
56	288	50386
57	293	50287
58	297	50173
59	302	50042
60	306	49941
61	311	49857
62	315	49802
63	320	49732
64	324	49615
65	329	49552
66	333	49461
67	338	49425
68	343	49391
69	347	49297
70	351	49217
71	356	49150
72	360	49063
73	365	49018
74	369	48937
75	374	48883
76	378	48837
77	383	48750
78	387	48669
79	392	48629
80	400	49004
81	406	49199
82	413	49376
83	419	49512
84	427	49828
85	435	50244
86	444	50645
87	449	50655
88	453	50545
89	458	50480
90	462	50404
91	467	50353
92	471	50271
93	476	50210
94	480	50147
95	485	50086
96	490	50121
97	495	50109
98	500	50067
99	504	49991
100	509	49926
101	513	49865
102	518	49815
103	523	49781
104	527	49721
105	532	49663
106	536	49616
107	541	49572
108	545	49519
109	550	49475
110	554	49402
111	558	49331
112	563	49271
113	567	49228
114	572	49188
115	576	49128
116	581	49095
117	585	49050
118	590	49021
119	596	49131
120	602	49226
121	609	49323
122	615	49418
123	621	49531
124	628	49682
125	642	50341
126	652	50699
127	659	50838
128	665	50901
129	675	51249
130	685	51608
131	690	51605
132	694	51545
133	699	51488
134	703	51434
135	708	51381
136	713	51334
137	717	51268
138	721	51200
139	726	51145
140	730	51101
141	735	51061
142	740	51023
143	744	50960
144	749	50915
145	753	50874
146	758	50832
147	763	50802
148	767	50755
149	772	50712
150	776	50674
151	781	50645
152	786	50609
153	793	50746
154	798	50723
155	804	50758
156	810	50811
157	816	50874
158	822	50924
159	830	51098
160	837	51172
161	848	51554
162	854	51586
163	859	51554
164	864	51509
165	869	51491
166	873	51445
167	878	51438
168	883	51409
169	888	51393
170	893	51354
171	899	51406
172	906	51503
173	913	51584
174	920	51666
175	925	51683
176	935	51910
177	939	51863
178	944	51830
179	949	51806
180	954	51780
181	958	51731
182	964	51717
183	968	51677
184	973	51637
185	978	51626
186	982	51572
187	987	51541
188	993	51589
189	1000	51648
190	1006	51672
191	1012	51744
192	1019	51805
193	1025	51842
194	1032	51895
195	1039	52013
196	1047	52110
197	1052	52083
198	1056	52049
199	1061	52014
200	1066	51987
201	1070	51947
202	1076	51950
203	1080	51901
204	1085	51865
